Timestamp,Which fragrance notes do you like?,"(Optional) Which fragrance brand(s) have you used, or which brand(s) have you considered trying? If the brand is not mentioned, please input into the ""Other"" selection. Selections are in alphabetical order for your convenience :)",Favorite Fragrance's Brand:,Favorite Fragrance's Name:,"Which country do you reside in? (Please use any common abbreviations if applicable, like ""USA"" for the ""United States of America,"" ""UK"" for ""United Kingdom"", ""UAE"" for ""United Arab Emirates"", etc). "
2/10/2023 22:57:11,"Vanilla, Rose, Jasmine, Tonka Bean, Cinnamon, Nutmeg, Orange Blossom, Mandarin, Orange, Frankincense, Ylang Ylang, Gardenia, Coffee, Lime, Peach, Mint, Apple",Burberry,Burberry,Her,US
2/11/2023 0:05:54,"Musk, Sandalwood, Bergamont, Amber, Rose, Jasmine, Benzoin, Pink Pepper, Oud, Cedarwood, Ambergris, Orange Blossom, Black Pepper, Neroli, Tuberose, Ginger, Orange, Ylang Ylang, Gardenia, Magnolia, Pear, Apple","Al Rehab, Carolina Herrera, Dior, Jimmy Choo, Kayali Fragrances, Lattafa Perfumes, Valentino, Jo Malone",Jimmy Choo,Valentino Donna,US
2/11/2023 6:58:00,"Rose, Jasmine, Incense, Lavender, Cedarwood, Grapefruit, Orange, Coffee, Peach, Pear, Coconut, Black Current",Bath & Body Works,Bath and Body works candles ,Mahogany Teakwood,US
2/11/2023 8:07:12,"Vanilla, Rose, Jasmine, Lemon, Coffee, Peach, Magnolia, Pear, Almond","Bath & Body Works, Chanel","Glossier, Marc Jacobs, Chanel","You by Glossier, Daisy Marc Jacobs, Chanel N.5",US
2/11/2023 9:10:18,"Musk, Bergamont, Jasmine","Armani, Dior, D&C, Burberry ",Armani,Sì passione ,US
2/11/2023 11:53:51,"Patchouli, Bergamont, Leather, Ambergris, Tobacco, Neroli","Armani, Bath & Body Works, Bvlgari, Chanel, Dior, Givenchy, Gucci, Guerlain, Jimmy Choo, Nishane, Prada, Tom Ford, Versace, Yves Saint Laurent",Dolce & Gabbana,The One,US
2/11/2023 16:35:53,"Amber, Rose, Jasmine, Violet, Oud, Cedarwood, Orange Blossom, White Musk, Tuberose, Ylang Ylang, Honey, Peach, Magnolia, Coconut, Mint, Apple, Black Current","Armani, Coach, Givenchy, Gucci, Jimmy Choo, Mugler, Prada, Ralph Lauren, Valentino, Versace, Yves Saint Laurent",Armani,Armani si,US
2/11/2023 18:50:32,"Musk, Vanilla, Patchouli, Sandalwood, Amber, Rose, Jasmine, Incense, Cardamom, Tonka Bean, Pink Pepper, Oud, Orange Blossom, Tobacco, White Musk, Frankincense, Gardenia, Coffee, Lime, Coconut, Mint, Apple, Almond, Black Current","Armani, By Kilian, Carolina Herrera, Chanel, Dior, Kayali Fragrances, Maison Francis Kurkdjian, Nishane, Parfums De Marly, Tom Ford, Yves Saint Laurent",Fragrance du Bois ,Oud Jaune intense ,US
2/11/2023 20:23:42,Rose,"Prada, Versace",Prada,,US
2/15/2023 8:22:09,"Patchouli, Rose, Lavender, White Musk, Coconut, Mint","Ariana Grande, Dior, Glossier ",Glossier,You,US
2/15/2023 8:26:40,"Vanilla, Amber, Rose, Jasmine, Saffron, Tonka Bean, Cinnamon, Benzoin, Pink Pepper, Nutmeg, Black Pepper, Tuberose, Ylang Ylang, Osmanthus, Gardenia, Magnolia, Marshmallow","Ariana Grande, Bath & Body Works, BYREDO, By Kilian, Chanel, Dior, Gucci, Guerlain, Maison Francis Kurkdjian, Mix Bar, Tom Ford, Yves Saint Laurent, Diptyque",Diptyque,Do Son,US
2/15/2023 8:52:23,"Vanilla, Chocolate, Lemon, Saffron, Tonka Bean, Orange, Coffee, Magnolia, Pear, Almond","Al Rehab, Bath & Body Works, Britney Spears, By Kilian, Carolina Herrera, Kayali Fragrances, Mix Bar, Mugler, Parfums De Marly, Yves Saint Laurent",Britney Spears,Fantasy,US
2/15/2023 15:25:42,"Vanilla, Chocolate, Amber, Lemon, Tonka Bean, Cinnamon, Iris, Lily of the Valley, Gardenia, Coffee, Peach, Magnolia, Coconut, Apple, Black Current","Bath & Body Works, Valentino, Versace, Yves Saint Laurent, Marc Jacobs",YSL,Black opium,US
2/15/2023 15:42:54,"Musk, Vanilla, Chocolate, Sandalwood, Bergamont, Tonka Bean, Iris, Pink Pepper, Lavender, Honey, Lily of the Valley, Gardenia, Almond","Ariana Grande, Bath & Body Works, Britney Spears, Coach, Gucci, Mix Bar",ariana grande ,REM ,US
2/15/2023 16:42:41,"Amber, Rose, Jasmine, Pink Pepper, Myrrh, Lime, Peach, Magnolia, Pear, Coconut, Mint, Apple, Farts","Al Rehab, Maison Francis Kurkdjian, Nemat",Nemat,Amber by Nemat,US
2/15/2023 17:40:55,"Vanilla, Sandalwood, Saffron, Violet, Cedarwood, Ambergris, Orange Blossom, Orris, Coconut, Almond","Al Rehab, Ariana Grande, Bath & Body Works, BYREDO, By Kilian, Carolina Herrera, Dior, Dossier, Givenchy, Gucci, Jimmy Choo, Kayali Fragrances, Lattafa Perfumes, Maison Francis Kurkdjian, Mugler, Pacifica, Prada, Ralph Lauren, Skylar, Tom Ford, Valentino, Versace, Yves Saint Laurent",Viktor and Rolf,Flowerbomb Ruby Orchid,US
2/15/2023 17:53:53,"Musk, Vanilla, Sandalwood, Bergamont, Amber, Cedar, Tonka Bean, Pink Pepper, Lavender, Oud, Cedarwood, Grapefruit, Orange Blossom, Mandarin, Neroli, White Musk, Orange, Honey, Coffee, Pear, Coconut, Mint","Bath & Body Works, Britney Spears, Carolina Herrera, Chanel",Bath & body works,Wicked vanilla woods,US
2/15/2023 19:29:54,"Musk, Vanilla, Sandalwood, Bergamont, Amber, Rose, Jasmine, Vetiver, Cedar, Cardamom, Saffron, Tonka Bean, Violet, Pink Pepper, Oud, Cedarwood, Ambergris, Grapefruit, Orange Blossom, Mandarin, White Musk, Orange, Ylang Ylang, Lily of the Valley, Heliotrope, Gardenia, Peach, Pear, Apple","Ariana Grande, Bath & Body Works, Britney Spears, By Kilian, Carolina Herrera, Jimmy Choo, Juliette Has a Gun, Kayali Fragrances, Lattafa Perfumes, Mix Bar, Mugler, Phlur, Prada, Ralph Lauren, Skylar, Tom Ford, Versace, Yves Saint Laurent, Paris Hilton, KKW Fragrance ",Carolina Herrera,Good Girl Glam,US
2/15/2023 19:47:29,"Musk, Vanilla, Chocolate, Bergamont, Amber, Rose, Jasmine, Lemon, Tonka Bean, Benzoin, Ambergris, Orange Blossom, Mandarin, Tuberose, Ginger, Ylang Ylang, Honey, Peach, Pear, Apple, Almond, Black Current","Al Rehab, Ariana Grande, Bath & Body Works, Britney Spears, By Kilian, Carolina Herrera, Dossier, Givenchy, Gucci, Juliette Has a Gun, Kayali Fragrances, Lattafa Perfumes, Pacifica, Parfums De Marly, Skylar, Tom Ford, Valentino",Killian,"Love, Don’t Be Shy",US
2/19/2023 0:15:45,"Musk, Vanilla, Lemon, Cardamom, Tonka Bean, Cinnamon, Iris, Pink Pepper, Oud, Grapefruit, Orange Blossom, Mandarin, Ginger, Clove, Orange, Honey, Gardenia, Coffee, Peach, Pear, Apple, Black Current","Al Rehab, Ariana Grande, Bath & Body Works, Bvlgari, By Kilian, Carolina Herrera, Kayali Fragrances, Lattafa Perfumes, Maison Francis Kurkdjian, Mix Bar, Mugler, Pacifica, Parfums De Marly, Phlur",Kayali,Vanilla Royale Sugared Patchouli,UK
2/20/2023 11:25:57,"Sandalwood, Bergamont, Amber, Rose, Jasmine, Cedar, Leather, Lemon, Cardamom, Saffron, Tonka Bean, Labdanum, Benzoin, Iris, Violet, Lavender, Cedarwood, Grapefruit, Orange Blossom, Mandarin, Tobacco, Coriander, Ginger, Clove, Orange, Honey, Moss, Lily of the Valley, Gardenia, Lime, Peach, Magnolia, Pear, Apple, Black Current","Bath & Body Works, Dior, Tom Ford, Calvin Klein",Tom Ford,Tuscan Leather,US
2/20/2023 11:29:53,"Musk, Vanilla, Sandalwood, Amber, Leather, Cinnamon, Oakmoss, Clove, Coffee","Bath & Body Works, Victoria's secret",Victoria's secret (for all 3),"#1: vanilla lace (discontinued), #2: bare vanilla, #3: amber romance",US
2/20/2023 12:08:54,"Vanilla, Rose, Lemon, Cardamom, Saffron, Cinnamon, Lavender, Cedarwood, Grapefruit, Orange Blossom, Mandarin, Ginger, Orange, Honey, Coffee, Lime, Peach",,,,Poland
2/20/2023 12:21:18,"Vanilla, Patchouli, Sandalwood, Bergamont, Amber, Jasmine, Cedar, Incense, Lavender, Orange Blossom, Mandarin, Myrrh, Orange, Mint",,none,,Germany
2/20/2023 12:22:55,"Sandalwood, Rose, Jasmine, Lemon, Violet, Lavender, Lily of the Valley, Magnolia, Lilac, ocean minerals, spruce, fir, sunflower","Elizabeth Arden, Mäurer & Wirtz, a bunch of store brands",Elizabeth Arden,Sunflowers,Germany
2/20/2023 12:38:53,"Vanilla, Sandalwood, Rose, Cedar, Leather, Lavender, Cedarwood, Black Pepper, Tobacco, Frankincense, Honey, Coffee, Coconut, Mint",,,,Canada
2/20/2023 13:09:24,"Jasmine, Grapefruit, Orange Blossom, Neroli, Tuberose, Orange, Gardenia, Peach",Body shop,The Body Shop,Indian Night Jasmine,UK
2/20/2023 13:19:43,"Vanilla, Chocolate, Lavender, Honey, Coffee, Peach, Pear, Coconut, Apple, Almond",Bath & Body Works,,,Canada
2/20/2023 13:49:14,"Musk, Amber, Cedar, Oakmoss, Cedarwood, Black Pepper, Tobacco, Neroli, Frankincense, Moss, Mint","4711, Alt-Innsbruck, Geo F. Trumper, Panier des Sens, Officine Universelle Buly, L'Occitane",Alt-Innsbruck,Alt-Innsbruck,Romania
2/20/2023 13:51:29,"Musk, Vanilla, Patchouli, Sandalwood, Bergamont, Amber, Jasmine, Cedar, Leather, Incense, Lemon, Cinnamon, Nutmeg, Lavender, Oakmoss, Cedarwood, Orange Blossom, Mandarin, Tobacco, Neroli, Myrrh, Clove, Frankincense, Coffee, Coconut, Mint","Bath & Body Works, 4711",4711,4711 original,US
2/20/2023 14:13:08,"Vanilla, Leather, Cardamom, Cinnamon, Benzoin, Nutmeg, Coriander, Clove, Orange, Moss, Coffee, Almond",,No brand,Benzaldehyde (diluted in sunflower oil),Finland
2/20/2023 14:46:09,"Vanilla, Chocolate, Cedar, Lemon, Cardamom, Cinnamon, Nutmeg, Grapefruit, Mandarin, Ginger, Orange, Coffee, Lime, Peach, Pear, Coconut, Apple, Almond, Black Current",Bath & Body Works,,,UK
2/20/2023 15:07:07,"Vanilla, Sandalwood, Bergamont, Jasmine, Cedar, Lavender, Cedarwood",,,,Canada
2/20/2023 15:07:15,"Vanilla, Chocolate, Rose, Cedar, Lemon, Cardamom, Saffron, Cinnamon, Iris, Violet, Nutmeg, Lavender, Geranium, Cedarwood, Grapefruit, Orange Blossom, Mandarin, Ginger, Clove, Orange, Honey, Lily of the Valley, Lime, Peach, Magnolia, Pear, Coconut, Mint, Apple, Almond, Burning Plastic",,,Burning Plastic,US
2/20/2023 15:20:57,"Musk, Patchouli, Sandalwood, Bergamont, Cedar, Leather, Incense, Lemon, Cardamom, Iris, Violet, Lavender, Cedarwood, Grapefruit, Coriander, Ginger, Clove, Orange, Frankincense, Lily of the Valley, Gardenia, Peach, Magnolia, Pear",Bath & Body Works,,,US
2/20/2023 16:10:21,"Musk, Chocolate, Sandalwood, Vetiver, Cedar, Leather, Cardamom, Nutmeg, Cedarwood, Tobacco, Coriander, Ginger, Clove, Coffee, Mint, Black Current, Pine. Real only ",I don’t. They all smell fake ,,,Canada
2/20/2023 16:40:44,"Musk, Vanilla, Sandalwood, Cedar, Cardamom, Cinnamon, Nutmeg, Cedarwood, Clove, Honey, Moss, Lily of the Valley, Coffee, Apple, Almond",i dont really use name brand,-,-,Finland
2/20/2023 17:14:36,"Musk, Sandalwood, Oakmoss, Cedarwood","Chanel, Dior",Chanel,Bleu de Chanel,US
2/20/2023 17:41:31,"Jasmine, Lemon, Cardamom, Cedarwood, Black Pepper, Lily of the Valley, Gardenia, Magnolia, Black Current",Hermes,Hermès,Jardin de Monsieur Li,US
2/20/2023 18:29:15,"Lemon, Cardamom, Cinnamon, Orange Blossom, Ginger, Lime, Apple",,,,Norway
2/20/2023 18:42:46,"Musk, Vanilla, Jasmine, Leather, Lemon, Cinnamon, Lavender, Clove, Frankincense, Ylang Ylang, Lily of the Valley, Heliotrope, Osmanthus",,,,US
2/20/2023 19:01:34,"Mandarin, Orange, Lime, Pear, Apple, Almond, Fig","Chanel, Guerlain, Jimmy Choo, Clean",Clean Reserve,Citron Fig,US
2/20/2023 19:10:45,"Patchouli, Sandalwood, Jasmine, Leather, Incense, Tonka Bean, Labdanum, Iris, Violet, Nutmeg, Oakmoss, Oud, Geranium, Cedarwood, Ambergris, Mandarin, Black Pepper, Tobacco, Neroli, White Musk, Myrrh, Coriander, Ginger, Orange, Frankincense, Ylang Ylang, Moss, Lily of the Valley, Heliotrope, Osmanthus, Gardenia, Lime, Magnolia","BYREDO, Chanel, Juliette Has a Gun, Tom Ford, Hermes",Hermes ,Eau de mervailles,US
2/20/2023 20:40:40,"Musk, Patchouli, Sandalwood, Amber, Rose, Jasmine, Incense, Violet, Lavender, White Musk, Ginger, Orange, Honey, Moss, Lily of the Valley, Peach, Pear, Apple, Pineapple","Bath & Body Works, Britney Spears, Tom Ford",,,US
2/20/2023 20:50:49,"Patchouli, Sandalwood, Bergamont, Jasmine, Incense, Lemon, Tonka Bean, Lavender, Oakmoss, Oud, Cedarwood, Grapefruit, Mandarin, Black Pepper, Myrrh, Frankincense, Ylang Ylang, Moss, Lily of the Valley, Lime, Almond","Armani, Bvlgari, Chanel, Givenchy, Gucci, Guerlain, Maison Francis Kurkdjian, Nishane, Tom Ford, Yves Saint Laurent",Tom Ford,Black Orchid,Turkey
2/20/2023 22:04:37,"Bergamont, Rose, Jasmine, Leather, Lemon, Cinnamon, Iris, Violet, Nutmeg, Lavender, Geranium, Cedarwood, Orange Blossom, Mandarin, Orange, Ylang Ylang, Honey, Lily of the Valley, Gardenia, Coconut, Eucalyptus ","Armani, Bath & Body Works, Chanel, Dior, Versace, D&G Light Blue, Mark Jacobs Daisy Dreams",Versace,Bright Crystal ,US
2/20/2023 22:40:09,"Musk, Patchouli, Sandalwood, Bergamont, Amber, Cedar, Leather, Incense, Lemon, Saffron, Cinnamon, Cedarwood, Orange Blossom, Mandarin, Ginger, Orange, Honey, Coffee, Lime, Magnolia",,,,US
2/20/2023 23:33:58,"Vanilla, Sandalwood, Amber, Leather, Lemon, Cardamom, Saffron, Tonka Bean, Pink Pepper, Lavender, Oakmoss, Cedarwood, Ambergris, Grapefruit, Orange Blossom, Black Pepper, Honey, Moss, Coffee, Peach, Pear, Coconut, Mint, Almond, Black Current, Clover/coumarin, paper, cherry, cake, pomegranate, cola, stone","Bath & Body Works, I mostly use indie perfumes like Solstice Scents, Sixteen92, Alkemia, etc",Solstice Scents,Manor,Ireland
2/21/2023 3:44:01,"Musk, Sandalwood, Amber, Jasmine, Cedar, Incense, Cedarwood, Black Pepper, Moss, Lily of the Valley, Magnolia","Armani, Jimmy Choo, Ralph Lauren",,,Poland
2/21/2023 4:02:50,"Neroli, Coriander, Frankincense, Coffee, ","Dior, Valentino, La vie est belle",Valentino,Voce viva,UK
2/21/2023 7:43:37,"Vanilla, Lavender, Ginger, Orange, Coconut, Mint, Apple",,,,Poland
2/22/2023 10:37:41,"Musk, Vanilla, Patchouli, Sandalwood, Leather, Incense, Lavender, Oud, Tobacco, White Musk, Myrrh, Clove, Frankincense",Bath & Body Works,Bath and Body Works,Into the Night,USA
2/23/2023 16:04:33,"Vanilla, Chocolate, Sandalwood, Cedar, Incense, Cinnamon, Iris, Violet, Nutmeg, Lavender, Cedarwood, Ginger, Orange, Frankincense, Honey, Lily of the Valley, Coffee, Magnolia, Coconut","Bath & Body Works, Nautica, Pacifica, Versace",,,Philippines
2/24/2023 15:33:26,"Lavender, Orange Blossom, Mandarin, Orange, Honey, Gardenia, Peach, Magnolia, Tea","Bath & Body Works, Lush",,,UK
2/24/2023 20:05:57,"Sandalwood, Bergamont, Cedar, Cardamom, Mandarin, Orange, Ylang Ylang","Armani, Bath & Body Works, Chanel, Dior, Yves Saint Laurent, ",Demeter Fragrance Library,Paperback,USA
2/24/2023 21:52:27,"Vanilla, Chocolate, Jasmine, Violet, Grapefruit, Orange Blossom, Tuberose, Orange, Lily of the Valley, Gardenia, Pear, Coconut, Almond","Coach, Dior, Mugler, L'Occitane Neroli & Orchidee",L'Occitane,Neroli & Orchidee,USA
2/24/2023 22:13:05,"Vanilla, Chocolate, Lemon, Cinnamon, Nutmeg, Grapefruit, Orange Blossom, Mandarin, Orange, Honey, Coffee, Lime, Peach, Pear, Coconut, Mint, Apple, Almond, Pumpkin spice, blueberry","Bath & Body Works, Avon",Avon,Passion,USA
2/25/2023 20:50:23,"Musk, Sandalwood, Rose, Jasmine, Cedar, Leather, Lemon, Saffron, Cinnamon, Nutmeg, Cedarwood, Grapefruit, Orange Blossom, Tobacco, Orange, Honey, Moss, Coffee, Lime, Peach, Mint, Apple, Almond",Bath & Body Works,none,none,USA
3/1/2023 14:55:53,"Vanilla, Sandalwood, Lemon, Cardamom, Lavender, Orange Blossom, Mandarin, White Musk, Orange, Heliotrope, Coffee, Lime, Peach, Pear, Mint, Apple, Black Current",,,,India 
3/4/2023 21:47:45,"Vanilla, Leather, Lemon, Cardamom, Cinnamon, Nutmeg, Grapefruit, Orange Blossom, Mandarin, Black Pepper, Ginger, Clove, Orange, Honey, Coffee, Lime, Peach, Coconut, Mint, Apple","Bath & Body Works, Chanel",,,Usa
